,DOI,Citation
145,10.1086/497552,198
146,10.1086/426623,70
147,10.1086/426619,196
148,10.1086/322899,174
149,10.1086/383438,84
150,10.1086/314319,3
151,10.1086/383420,55
152,10.1086/317593,458
153,10.1086/323732,5
154,10.1086/321954,331
155,10.1086/432238,690
156,10.1086/429600,465
157,10.1086/321949,116
158,10.1086/314325,196
159,10.1086/422111,941
160,10.1086/425089,4
161,10.1086/383427,88
162,10.1086/426625,602
163,10.1086/432235,592
164,10.1086/344425,8
165,10.1086/344422,714
166,10.1086/383429,492
167,10.1086/426606,377
168,10.1086/314310,256
169,10.1086/314318,672
170,10.1086/323730,181
171,10.1086/338208,186
172,10.1086/380293,152
173,10.1086/322906,58
174,10.1086/323726,390
175,10.1086/339925,575
176,10.1086/209571,949
177,10.1086/323740,2
178,10.1086/422106,76
179,10.1086/432228,130
180,10.1086/432242,125
181,10.1086/497557,290
182,10.1086/323735,98
183,10.1086/426618,140
184,10.1086/497549,2
185,10.1086/341571,57
186,10.1086/346253,233
187,10.1086/426613,412
188,10.1086/380289,447
189,10.1086/317585,121
190,10.1086/429602,2
191,10.1086/374700,613
192,10.1086/432243,7
193,10.1086/374698,356
194,10.1086/426610,246
195,10.1086/380288,158
196,10.1086/321944,372
197,10.1086/341575,203
198,10.1086/376802,904
199,10.1086/422110,452
200,10.1086/314312,1
201,10.1086/383428,43
202,10.1086/497553,64
203,10.1086/425102,465
204,10.1086/346251,772
205,10.1086/341570,11
206,10.1086/497559,349
207,10.1086/380290,273
208,10.1086/425100,56
209,10.1086/425099,137
210,10.1086/432240,346
211,10.1086/383431,340
212,10.1086/314324,160
213,10.1086/323738,236
214,10.1086/321953,33
215,10.1086/346243,305
216,10.1086/426622,2
217,10.1086/422122,602
218,10.1086/319617,378
219,10.1086/425085,236
220,10.1086/425105,35
221,10.1086/425095,157
222,10.1086/374695,108
223,10.1086/344426,286
224,10.1086/429606,603
225,10.1086/323733,667
226,10.1086/422117,361
227,10.1086/383426,1600
228,10.1086/317591,459
229,10.1086/426620,7
230,10.1086/374696,609
231,10.1086/339927,214
232,10.1086/497550,164
233,10.1086/378613,36
234,10.1086/374694,662
235,10.1086/314320,52
236,10.1086/319622,147
237,10.1086/341574,804
238,10.1086/322905,74
239,10.1086/432230,680
240,10.1086/380286,862
241,10.1086/380284,119
242,10.1086/344428,276
243,10.1086/376803,276
244,10.1086/425093,68
245,10.1086/209570,3
246,10.1086/380287,119
247,10.1086/321952,31
248,10.1086/378617,398
249,10.1086/376805,251
250,10.1086/429603,487
251,10.1086/322901,266
252,10.1086/323731,256
253,10.1086/378620,347
254,10.1086/209572,317
255,10.1086/323737,69
256,10.1086/344424,6
257,10.1086/374693,431
258,10.1086/341569,11
259,10.1086/344427,572
260,10.1086/383424,15
261,10.1086/422121,201
262,10.1086/422124,388
263,10.1086/314308,727
264,10.1086/425086,369
265,10.1086/422115,365
266,10.1086/321950,381
267,10.1086/341568,236
268,10.1086/322907,242
269,10.1086/425091,165
270,10.1086/425087,462
271,10.1086/425098,8
272,10.1086/346246,180
273,10.1086/422112,167
274,10.1086/209565,150
275,10.1086/426616,426
276,10.1086/378618,51
277,10.1086/341578,457
278,10.1086/338202,399
279,10.1086/319619,354
280,10.1086/422104,75
281,10.1086/322898,388
282,10.1086/429598,4
283,10.1086/422107,238
284,10.1086/314313,161
285,10.1086/317588,1147
286,10.1086/429599,212
287,10.1086/383430,21
288,10.1086/321948,1779
289,10.1086/344423,145
290,10.1086/346252,443
291,10.1086/323727,238
292,10.1086/378616,2064
293,10.1086/338203,60
294,10.1086/323739,290
295,10.1086/319623,225
296,10.1086/422116,80
297,10.1086/425084,51
298,10.1086/422113,38
299,10.1086/376801,63
300,10.1086/425088,253
301,10.1086/383433,158
302,10.1086/422123,162
303,10.1086/383423,279
304,10.1086/383419,2
305,10.1086/376808,918
306,10.1086/341573,2
307,10.1086/426611,207
308,10.1086/339922,274
309,10.1086/346245,97
310,10.1086/209569,318
311,10.1086/323729,750
312,10.1086/338209,576
